Jurisdicti,Situs_St_1,MEGA_APN,center_longitude,center_latitude,FieldDesc,Situs_St_2,Roll_Acres,MAP_PAGE,IrrigAcres,InactiveDa,Att1,Shape__Are,ActiveDate,CITY,Roll_AsmtD,Att5,MAPYEAR,Situs_St_3,GIS_Acres,WA_NUM,StandbyAcr,Agency_ID,FieldID,Situs_Stre,Situs_Spac,field_id,Att3,Comment,Att4,Deed_Acres,Roll_TRA,geometry_type,ZIP,OBJECTID,Att2,district,WA_FLAG,Name,ActiveFlag,VolRateAdj,Roll_Land,AreaAC,ParcelID,Roll_Asmt,unq_fld_id,Roll_Struc,FieldAcres,Shape__Len,LOT
,,,-121.79072918550872,39.00468173286197,11-23,,,,173.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,181.05,,D2__004,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,150.9888,,,80,,173.0,,
,,,-121.77559109536861,38.99790999832081,"11-38A, 11-41A",,,,122.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,126.89,,D2__005,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,114.6163,24-090-009,,81,,122.0,,
,,,-121.78052873666658,38.99697639436248,11-40,,,,76.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,83.48,,D2__006,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,73.9022,24-090-010,,82,,76.0,,
,,,-121.78056480763902,38.99150033662028,11-49,,,,36.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,39.93,,D2__007,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,34.2515,24-100-003 North West 36 Acres,,83,,36.0,,
,,,-121.78554610738931,38.98901325625805,158-B (FIELD 2),,,,66.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,46.0,,D2__008,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,68.7288,,,84,,66.0,,
,,,-121.78059340099642,38.98794822489424,158-B (FIELD 1),,,,37.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,46.02,,D2__009,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,37.6379,24-100-009 HF-7,,85,,37.0,,
,,,-121.77603024924875,38.98779073172031,11-48A (N)WEST,,,,110.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,119.09,,D2__010,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,106.8743,24-100-003 East110 Acres,,86,,110.0,,
,,,-121.77136787540064,38.986887270140414,11-48 B-1 EAST N   A,,,,112.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,119.09,,D2__011,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,104.4712,24-100-005,,87,,112.0,,
,,,-121.79064376548986,38.98678150128714,158-B (FIELD 4),,,,10.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,46.05,,D2__012,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,12.049,24-100-009 HF-5,,88,,10.0,,
,,,-121.78580082068497,38.98436701708948,158-B (FIELD 3),,,,45.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,46.04,,D2__013,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,42.9446,24-100-009 HF-6,,89,,45.0,,
,,,-121.78058442301041,38.98432028488856,11-50,,,,33.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,43.22,,D2__014,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,33.5665,24-100-003 South West 33 Acres,,90,,33.0,,
,,,-121.77600322818789,38.97847623996477,"11-51, 11-61A",,,,94.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,102.52,,D2__015,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,69.6394,24-150-005,,91,,94.0,,
